brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
Dior,Miss Dior Le Parfum Edition d’Exception,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Le-Parfum-Edition-d-Exception-30168.html,femme,Extrait de Parfum,2013,"amber;vanilla;rose;patchouli;citrus;woody;powdery;warm spicy;f_gender",Mandarine,Rose de Damas,"Ambre;Vanille;Feuille de patchouli d'Indonésie",,très longue tenue,énorme,,,,,,,3.78
Dior,Miss Dior Parfum,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Parfum-11400.html,femme,Extrait de Parfum,1947,"green;white floral;patchouli;balsamic;woody;aromatic;warm spicy;earthy;f_gender",Férule gommeuse,Jasmin,Patchouli,,très longue tenue,modéré (e),,,,,,,4.38
Dior,Miss Dior Parfum (2024),https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Parfum-2024-89584.html,femme,Extrait de Parfum,2024,"woody;fruity;amber;sweet;earthy;patchouli;floral;warm spicy;f_gender","Abricot;Pêche;Mandarine","Fraise des bois;Notes fleuries;Jasmin","Patchouli;Amberwood;Ambre;Mousse;Cèdre Atlas",,,,,,,,,,4.01
Dior,Miss Dior Parfum pour Cheveux,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Parfum-pour-Cheveux-29770.html,femme,Extrait de Parfum,2015,"rose;citrus;musky;white floral;floral;patchouli;powdery;fresh spicy;f_gender",Bergamote,"Rose;Jasmin d'Egypte","Musc;Feuille de patchouli d'Indonésie",,modéré (e),modéré (e),,,,,,,4.29
Dior,Miss Dior Parfum Roller-Pearl,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Parfum-Roller-Pearl-135007.html,femme,Extrait de Parfum,2026,"fruity;floral;sweet;amber;white floral;earthy;citrus;mossy;f_gender","Abricot;Pêche;Mandarine","Notes fleuries;Fraise;Jasmin","Patchouli;Ambre;Mousse;Amberwood;Cèdre Atlas",,médiocre,discret,,,,,,,2.75
Dior,Miss Dior Rose Essence,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Rose-Essence-73762.html,femme,Extrait de Parfum,2022,"woody;rose;aromatic;musky;green;earthy;fresh spicy;powdery;f_gender","Notes vertes;Géranium",Rose de Grasse,"Musc;Gaïac;Vétiver;Patchouli",,modéré (e),discret,,,,,,,3.92
Dior,Miss Dior Rose N'Roses,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Rose-N-Roses-58562.html,femme,Extrait de Parfum,2020,"rose;musky;fresh spicy;citrus;aromatic;powdery;floral;herbal;f_gender","Géranium;Bergamote;Mandarine d'Italie","Rose de Grasse;Rose de Damas",Musc blanc,,modéré (e),modéré (e),,,,,,,3.82
Dior,Miss Dior Rose N'Roses Roller Pearl,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Rose-N-Roses-Roller-Pearl-65505.html,femme,Extrait de Parfum,2021,"rose;citrus;musky;fresh spicy;floral;aromatic;powdery;herbal;f_gender","Mandarine d'Italie;Bergamote;Géranium","Rose de Grasse;Rose de Damas",Musc blanc,,,,,,,,,,4.18
Dior,Miss Dioramour,https://www.fragrantica.fr/parfum/Dior/Miss-Dioramour-124285.html,femme,Extrait de Parfum,2026,"floral;citrus;woody;fruity;white floral;amber;sweet;powdery;f_gender","Tangerine;Mandarine;Abricot;Pêche","Notes fleuries;Jasmin;Fraise des bois","Cèdre Atlas;Ambre;Amberwood;Mousse;Patchouli",,,,,,,,,,3.30
Dior,Miss Dior Blooming Bouquet Hair Mist,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Blooming-Bouquet-Hair-Mist-107260.html,femme,Eau de Parfum,2025,"floral;rose;fresh;sweet;musky;citrus;powdery;honey;f_gender","Pois de senteur;Bergamote","Pivoine;Rose",Musc,,faible,discret,,,,,,,3.62
