brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
dior,Dior Addict Dior Twist,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Dior-Twist-1384.html,femme,Eau de Parfum,2004,"vanilla;white floral;rose;woody;powdery;sweet;warm spicy;amber;balsamic;aromatic",,"Bulgarian Rose;Night blooming Cereus;Orange Blossom","Sandalwood;Tonka Bean;Bourbon Vanilla",,,,10,2,2,8,5,16,4.41
dior,Dior Addict Eau de Parfum,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Eau-de-Parfum-15270.html,femme,Eau de Parfum,2012,"vanilla;white floral;citrus;sweet;powdery;floral;fruity","Mandarin Orange;Silkwood Blossom;Orange Blossom","Night blooming Cereus;Bulgarian Rose","Vanilla;Tonka Bean;Sandalwood",,,,1100,247,166,769,480,1100,4.28
dior,Dior Addict Eau de Parfum (2014),https://www.fragrantica.com/perfume/Dior/Dior-Addict-Eau-de-Parfum-2014-28201.html,femme,Eau de Parfum,2014,"white floral;vanilla;citrus;sweet;powdery","Mandarin Leaf;Orange Blossom",Jasmine Sambac,Bourbon Vanilla,,,,2300,786,429,1900,1100,2100,4.30
dior,Dior Addict Eau de Toilette,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Eau-de-Toilette-25159.html,femme,Eau de Toilette,2014,"white floral;citrus;woody;vanilla;powdery;floral;fresh",Sicilian Mandarin,"Jasmine Sambac;Tunisian Neroli","Sandalwood;Vanilla",,,,218,755,633,433,842,257,3.96
dior,Dior Addict Eau Delice,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Eau-Delice-18123.html,femme,Eau Fraiche,2013,"fruity;sweet;cherry;almond;nutty;musky;citrus;vanilla;powdery;fresh spicy","Cranberry;Cherry;Orange;Bergamot","Bitter Almond;Ylang-Ylang;Egyptian Jasmine;Indian Jasmine;Rose","White Musk;Vanilla;Cedar",,,,,,,,,,3.93
dior,Dior Addict Eau Fraiche 2004,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Eau-Fraiche-2004-216.html,femme,Eau Fraiche,2004,"citrus;white floral;vanilla;sweet;woody;floral;aromatic;green;tuberose;balsamic",,,,,,,,,,,,,4.21
dior,Dior Addict Eau Fraiche 2012,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Eau-Fraiche-2012-15268.html,femme,Eau Fraiche,2012,"citrus;floral;fresh spicy;woody;musky;aquatic;aromatic;fruity;ozonic",,,,,,,,,,,,,3.93
dior,Dior Addict Eau Fraiche 2014,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Eau-Fraiche-2014-25611.html,femme,Eau Fraiche,2014,"floral;citrus;musky;fresh spicy;white floral;powdery;green;aromatic;fresh","Calabrian bergamot;Grapefruit","Freesia;Lily-of-the-Valley","White Musk;Woodsy Notes",,,,,,,,,,4.05
dior,Dior Addict Eau Sensuelle,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Eau-Sensuelle-15269.html,femme,Eau de Parfum,2012,"rose;musky;white floral;floral;powdery;woody",,,,,,,,,,,,,3.91
dior,Dior Addict Limited Edition Collect It,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Limited-Edition-Collect-It-3041.html,femme,Eau de Parfum,,"white floral;citrus;rose;aromatic;green;sweet;soapy;floral",,,,,,,19,4,1,12,9,23,4.30
